ID_Formulario,Nombre_Curso,¿Se dio a conocer el objetivo de la capacitación?,¿Se cumplió el objetivo de la capacitación?,¿Los contenidos brindados fueron coherentes con el objetivo planteado?,¿Los temas se desarrollaron en el tiempo previsto?,¿La capacitación aportó nuevos conceptos y/o técnicas que antes no conocía?,¿Los conocimientos recibidos durante la capacitación le permitirán llevarlos a la práctica en su vida cotidiana?,¿La metodología utilizada por el facilitador permitió el entendimiento de los contenidos?,¿El facilitador demostró el dominio del tema brindado?,¿Durante el desarrollo de la capacitación se propició la participación de los asistentes?,¿Durante la capacitación se dio espacio para la solución de inquietudes?,¿Cómo califica las condiciones del espacio físico o medio virtual en el que se desarrolló la capacitación?,¿El material utilizado permitió el entendimiento del tema?,"En general, ¿Cómo se sintió con la actividad de capacitación realizada?"
12imN--sH0MBswxs3ix0yrHryrQIOsbLZPljvGifls58,"RPMS (A, J) - (AISPPMSCVJA_01_2026) (AISPPMSCVA_01_2026)",5,4,4,4,4,4,4,4,3,3,4,4,4
12imN--sH0MBswxs3ix0yrHryrQIOsbLZPljvGifls58,"RPMS (A, J) - (AISPPMSCVJA_01_2026) (AISPPMSCVA_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
12imN--sH0MBswxs3ix0yrHryrQIOsbLZPljvGifls58,"RPMS (A, J) - (AISPPMSCVJA_01_2026) (AISPPMSCVA_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
12imN--sH0MBswxs3ix0yrHryrQIOsbLZPljvGifls58,"RPMS (A, J) - (AISPPMSCVJA_01_2026) (AISPPMSCVA_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
12imN--sH0MBswxs3ix0yrHryrQIOsbLZPljvGifls58,"RPMS (A, J) - (AISPPMSCVJA_01_2026) (AISPPMSCVA_01_2026)",1,1,1,1,1,1,1,1,1,1,1,1,1
12imN--sH0MBswxs3ix0yrHryrQIOsbLZPljvGifls58,"RPMS (A, J) - (AISPPMSCVJA_01_2026) (AISPPMSCVA_01_2026)",4,5,4,4,4,4,4,4,4,4,4,4,4
12imN--sH0MBswxs3ix0yrHryrQIOsbLZPljvGifls58,"RPMS (A, J) - (AISPPMSCVJA_01_2026) (AISPPMSCVA_01_2026)",4,5,5,4,5,4,4,4,4,4,4,4,4
12imN--sH0MBswxs3ix0yrHryrQIOsbLZPljvGifls58,"RPMS (A, J) - (AISPPMSCVJA_01_2026) (AISPPMSCVA_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
12imN--sH0MBswxs3ix0yrHryrQIOsbLZPljvGifls58,"RPMS (A, J) - (AISPPMSCVJA_01_2026) (AISPPMSCVA_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
12imN--sH0MBswxs3ix0yrHryrQIOsbLZPljvGifls58,"RPMS (A, J) - (AISPPMSCVJA_01_2026) (AISPPMSCVA_01_2026)",4,4,4,4,5,4,5,4,5,4,4,4,4
12imN--sH0MBswxs3ix0yrHryrQIOsbLZPljvGifls58,"RPMS (A, J) - (AISPPMSCVJA_01_2026) (AISPPMSCVA_01_2026)",4,4,4,5,5,5,5,5,5,5,5,5,5
12imN--sH0MBswxs3ix0yrHryrQIOsbLZPljvGifls58,"RPMS (A, J) - (AISPPMSCVJA_01_2026) (AISPPMSCVA_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
12imN--sH0MBswxs3ix0yrHryrQIOsbLZPljvGifls58,"RPMS (A, J) - (AISPPMSCVJA_01_2026) (AISPPMSCVA_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
12imN--sH0MBswxs3ix0yrHryrQIOsbLZPljvGifls58,"RPMS (A, J) - (AISPPMSCVJA_01_2026) (AISPPMSCVA_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
12imN--sH0MBswxs3ix0yrHryrQIOsbLZPljvGifls58,"RPMS (A, J) - (AISPPMSCVJA_01_2026) (AISPPMSCVA_01_2026)",4,4,5,4,4,4,5,4,4,4,5,4,5
12imN--sH0MBswxs3ix0yrHryrQIOsbLZPljvGifls58,"RPMS (A, J) - (AISPPMSCVJA_01_2026) (AISPPMSCVA_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
12imN--sH0MBswxs3ix0yrHryrQIOsbLZPljvGifls58,"RPMS (A, J) - (AISPPMSCVJA_01_2026) (AISPPMSCVA_01_2026)",4,4,4,4,5,5,5,5,5,5,4,5,5
12imN--sH0MBswxs3ix0yrHryrQIOsbLZPljvGifls58,"RPMS (A, J) - (AISPPMSCVJA_01_2026) (AISPPMSCVA_01_2026)",4,4,4,4,4,4,4,4,5,5,5,4,4
12imN--sH0MBswxs3ix0yrHryrQIOsbLZPljvGifls58,"RPMS (A, J) - (AISPPMSCVJA_01_2026) (AISPPMSCVA_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
12imN--sH0MBswxs3ix0yrHryrQIOsbLZPljvGifls58,"RPMS (A, J) - (AISPPMSCVJA_01_2026) (AISPPMSCVA_01_2026)",4,4,4,4,4,4,4,4,4,4,4,4,4
12imN--sH0MBswxs3ix0yrHryrQIOsbLZPljvGifls58,"RPMS (A, J) - (AISPPMSCVJA_01_2026) (AISPPMSCVA_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
12imN--sH0MBswxs3ix0yrHryrQIOsbLZPljvGifls58,"RPMS (A, J) - (AISPPMSCVJA_01_2026) (AISPPMSCVA_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",4,4,4,4,4,4,4,4,4,4,4,4,4
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,4,4,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",4,5,5,5,5,5,5,4,5,5,4,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",4,4,4,4,4,4,4,4,4,4,4,4,4
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",4,4,4,5,4,5,5,4,4,4,4,4,4
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",4,4,4,4,4,4,4,4,4,4,4,4,4
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",4,4,4,4,4,4,4,4,4,4,4,4,4
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",4,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",4,4,4,4,4,4,5,4,3,3,3,5,4
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",4,5,5,5,5,5,5,3,4,4,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,3,3,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",4,4,4,4,4,4,4,4,4,4,4,4,4
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",4,4,4,4,4,4,4,4,4,4,4,4,4
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",4,4,4,4,3,4,3,3,3,4,4,3,4
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",4,5,5,5,5,5,4,4,4,5,4,5,4
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",4,4,4,4,4,4,4,4,4,4,4,4,4
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",4,4,4,4,4,4,4,4,4,4,4,4,4
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",1,1,1,2,1,1,1,1,1,1,1,1,1
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,4,4,4,4,4,4,4,4,4,4,4,4
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",4,4,4,4,4,4,4,4,4,4,4,4,4
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",4,4,4,4,4,4,4,4,4,4,4,4,4
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",1,1,1,1,1,1,1,1,1,1,1,1,1
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",1,1,1,1,1,1,1,1,1,1,1,1,1
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",4,4,4,4,4,4,4,4,4,4,4,4,4
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,4,5,4,5,4,4,5,4,4,4,4,4
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",2,1,1,2,1,1,1,1,3,3,2,2,1
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",3,3,4,4,4,4,4,4,4,3,3,4,3
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",4,4,4,4,4,4,4,4,4,4,4,4,4
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,4,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",4,4,4,4,5,4,4,4,3,3,3,3,4
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,4,4,4,5,4
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",4,4,4,4,4,4,4,4,4,4,4,4,4
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",4,4,4,4,4,4,4,4,4,4,4,4,4
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",3,3,4,3,4,4,4,4,3,3,4,4,4
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,5,5,5,5,5,5,5,5,5,5,5
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",4,4,4,4,4,4,4,4,4,4,4,4,4
1v0nC15GpcAkOvN0VZOFwR3QlkEXLh0BPbzE57FI5fR4,"RPMS PI e I 012026 - (AISPPMSCVPI_01_2026, AISPPMSCVI_01_2026)",5,5,4,5,5,5,5,4,5,5,5,5,5
